message,cyberbullying
allahım beni neden nazik değil de tırrek olarak yolladın bu dünya ya,0
hakkında bilgin bulunmayan şeyin ardına düşme çünkü kulak göz ve gönül bunların hepsi ondan sorumludur,0
en sevdigim arkadaslarim escort fuhusla mucadelede sex işcisi ucretli ilan veriyor telekız genel evde calisiyor,1
aysun kayacının haklılığını gösteren bir angut daha bu beyinsiz ile bnm oyum bir há,1
belki de en asil en güzel kuşlar filamingolardır ne istiyorsunuz onlardan herkes bitti sıra filamingolara mı geldi,0
barzo gibi çikolata yedim komadayım,0
2takımın 1takımdan daha çok sevineceği bir son bizi bekliyor,0
andaval,1
izmir içinde yaşayanlara mezar olmasın yeter malum idareciler saçma sapan işler yerine biraz,0
mutluyum ama birazdan geçer,0
eski resimlere bakarsın sen artık sadece pislik haahh zavallı anılarım  yerine çok daha güzellerine koyacağız,1
ramak kaldı geri zekalı feminikler gibi birini dövmeme bu ülkenin insanı neden bu kadar angut,1
hasköy gökyazı köyünde yaşıyor,0
süpersin purab sen olmasan iş sıkıntıydı hgfhfhfhfhhfjf,0
takip et amina koyduğum catır catır sikerim evire çevire amina gotune agzına sokarım,1
yine taşak konusu oldun,1
yıldız metenin anlattıklarına karşı kendini savunuyor,0
fotoğrafı şuan ben çekiyorum benim kamerama bak demek amına koyduğum  salağı bu kadar zor,1
yaşa mustafa kemal paşa yaşa,0
yaşıyomusun lan embesil,1
adam bişey demiş merakından dediğin lafa bak andaval,1
neden karşıma zeki ve güzel çıkmak yerine aptal ve varoş çıkmayı tercih ediyosunuz ki,1
cüce gezegen in halkaları keşfedildi,0
senin gibi şerefsizlere anlatmaya çalışıyo baskan lakin şerefsizlik okadar kanınıza işlemiş,1
ortalık kar kış  dikkat edin sıkı giynin¿¿,0
bırakın artık şu doğa katliaminı,0
çocuk benden daha önce hiç böyle tepki görmediği için afalladı tabi niye abi falan diyebildi,0
12 haftadır oyunu okuyamayan gerizeka bir teknik direktörden ne beklenirdi ki,1
hakemebeni skm yeter ulan yeter,1
beyinsiz mi lan bu kızharbi beyinsiz ya,1
cahaletimden değil asaletimden susuyorum lan paçoz,1
rimel sürerkenmakyaj yaparken gösterdiğim ciddiyeti hayata gösterseydim şimdi çok başka noktadaydımnet,0
biz seni allah için sevdik,0
bok boğazlısın,1
üç beş fav için bu kadar yalaka olmanıza gerek yoktu yahu,1
dünyada rahat yaşamak için aptal olmalı bunu bileydim daha ilkin gençliğimde aptal arasına katılırdım,0
camiye git zındık,1
kahpe her yaşta kahpe sonradan evliya olmaz,1
meryem manita yapınca apptal yollu ergenler gibi davranıyo,1
ve bir günahsızı daha öldürdüler,0
ifkinin sibibini biliyirim nişanınıza uygun abiye bulamadım da ondan öfkem gerizeka,1
nagihan oynamadı yerini birsene verdi birsen oynadı,0
komedyen cem yılmaz ve defne samyeli aşkı belgelendi,0
boynu bükük veda,0
kirayı fahişe karından çatır çatır alıyo,1
anattan anlayan godos orospu ebru yu teşhir ediyo birde siktir,1
eski mahallemde silahlı saldırı olmuş adam öldürmüşler vay amk,0
amk dingil cahili o topu sana çuvalla sikke altın vererek urbain isimli bir macar yahut ulah mühendisine döktürmüştü,1
bu saatlerde uyuyup kalkınca sersem gibi oluyorum,0
adalet senin içinde gerek ,0
din dil ırk yetmedi bi makyaj eksikti hayırlı olsun,0
şişko sensin tamam mı slk,1
marmelat kadar tatlı londra kadar maceralı bir serüvene yalnızca 3 gün kaldı,0
dünyada oksijeni karbondioksite çevirmekten başka işlere de yarıyorsun,0
merhaba ugur bey yılardır çözülmeyen,0
yemekteyiz bu nedir arkadaş bu gay leri çıkartmayın yemekteyiz e,1
süpersin kardeşim,0
fatih sultan fethedecek başka yermi bulamadı pezevenk,1
bingöl’den mutlu ve huzurlu sabahlar yeni günümüz yeni haftamız hayırlı uğurlu olsun,0
kafaya yemiş yavşak islam ülkeleri kan gölü sen hala götünü kurtarmaya çalışıyo,1
uykuyu sevmeseydim başarılı biri olabilirdim,0
evlenip hala masturbasyon yapanda koyludur nett,1
allahım murat nasıl tatlısın yicemm,0
boşta aslan gibi fatih hoca varken tudor gibi bir gerizeka ile çalışıyor olman çok üzücü,1
mertcan bey insaflı yorum yapın diyor kendi gününde lan sen geçmiş günlerde insaflı yorumlar yaptın,0
bu orosbu çocuğuna ne oluyor,1
allah seni bildigi gibi yapsın beyinsiz yobaz,1
nefret etmek için bulabileceğin sebepleri söyliceksin pezevenk,1
senin kitabını sikerim orospu çocuğu,1
içinizdeki çoçuk gülüyorsa    orda umut var demektir,0
telefon güncelliyom telefon bozuluyo hattı faturalıyo taşıyom hat bozuluyo ne çeşit bi şaka ya bu,0
hayırlı cumalar türkiyem,0
toplarız tabi müslüm baba süpersin,0
orasını bilemiyorum ama ben takip ederdim zamanında hoşuma gitmeyince paylaşımlar takibi bıraktım sadece engel,0
pornocu şerefsizler,1
ahahaha katısı 15 dakka beklese olmuyo senin ben amk biz değil sen kendi kendine ediyon olum,1
okan seni siker bicerim gotveren hain pezevenk,1
bu bi evlenme çeşidi böyle çiçekle çikolatayla gidersin hiç tanımazsın,0
bugun balikesir iyi parti aday adayligimi onunla paylastim,0
çok tatlısın da bu millet seni anlayacak kapasitede değil,0
beşiktaş ın değil tüm ülkenin maçı duyarlılık için tebrikler,0
tarih gerzek diye yazacak gerzeğe yatıyolar,1
işkur paydaşlığı ile açılan bilgisayar işletmenliği eğitimimizde kablo hatalırını öğreniyoruz,0
arabada sakso yaparmısın,1
diplomalı zirzop al bastonunu sok bir yerine şey pardonal eline sittir git,1
merhaba arkadaşlarım,0
ohh müthiş amcık,1
kime ne zararları oldu  masumiyetten başka,0
senin gibi orospu çocukları var,1
delilim var demeyeceksin göstereceksin kahpe anneli ,1
annen baban için çalışmayıp başkaları için çalışıyorsan sana da yazıklar olsun aptal,1
siz keklikleri salın yavşak avcılar da avlasın önce avcılığı yasaklayın,1
yıllar geçmiş ve sen hâlâ çok güzelsin,0
sıçarım dersine sanki apartman yöneticisi olacak pezevenk,1
anlatılanların anlaşılmasını beklemektedir cerrahpaşaduruşu  her görüşten insanın birlikteliğidir,0
okulda her köşede sevgililer öpüşüyor bu ne kerhane gibi amk,1
şimdi bana kaybolan yıllarımı verseler ben kesin yine kaybederim,0
tebrikler başarıların devamını dilerim,0
selam nasılsınız ben yalama yaparım am ve got deliğini yalarim,1
hak aramak iyidir adalet istemek iyidir demokrasi demek iyidir milletin iyiliğine katkı yapmak daha da iyidir,0
burun estetik  dişler zirkonyum bide boya makyaj effect ekleyelim modifiyeli şahinden bir farkı yok,0
yenildim dünyanın bu en aşifte yüzünü,0
bulunduğu şehirde babalı ogullu adı türlü rezalete bulaşmış itdönmüş herşey iyi olacak diyor la yavşak sizinle iyi olacaksa yansın o şehir,1
son bir noteğleniyoruz diyorsunuzyasizin yaptığınız eğlenmek değil üste para veripkepaze olmak,1
sabahtan beri ağlıyorum damat haline bakıp bakıp ağladım içim dışıma,0
bazı insanlar şükür sebebi olabiliyorlar sen en başta yer alıyorsun,0
inşallah bu dallama aday olur,1
cumamız mûbarek olsun,0
işıl ışıl her yer her yer sanki pavyon,1
patavatsız insanlara kafa atasım geliyor ağızlarına gelen her şeyi söylüyorlar sonra da ben öyle demek istemedim ki ne demek istedin denyo,1
neden öküz gibi bakıyorsunuz acaba,1
müzik dinlerken kaydettiğim sesim kaynamış ara da diyorum ki bu hangi ünlü yaa,0
enişte kızmasın diyor ulan embesil sen kimsin enişte senin neyine kızsın enişte mi var,1
bu gün çok mutluyum ama birazdan geçer,0
bunca yildir nasil gidiyorsak öyle gideriz bizi katleden medeniyet kuslari da katletmesin,0
götünde bezle dolaşan dümbük,1
bana bak ödlek dürzü bari profillere net resmini koy nereye konduracağımızı bilelim ödlek hain,1
yaş günün kutlu olsun,0
nerde salak nerde gerizeka varsa elimle koymuş gibi bulurum hiç kaçırmam,1
peki sizin dudaklarınızın kahkahalarınızın makyaj malzemelerinizin 1600 liraya çalışan adamın alın teriyle nasırlı elleriyle,0
nefeslerini bu kadar bosa tuketen embesil dunyanin hic bir yerinde yokkadere bak ki duse duse biz dustuleronlar urusun,1
vazgectim ne kadar sıkıcıysa suan salonda kimse kalmamıs ortada 2 3 andaval dönüyor,1
canım sağolsun dedim bilemedi ki canda oyducanımda,0
dostluklar arkadaşlıklarda mı satılık,0
kendi halinize bakın yalaka köpekler,1
yobaz orospu çocuklarına tek tek saplar,1
bazı şarkılar var dinlerken  vay be neler yaşamış  insanlar diyorum,0
sensin ezik tirrek,1
süzme dangalak,1
my ponçik heart was broken because of sürtük people,1
tam bir kaltak aşırı sinirlendim şuan,1
olum siz nasıl birşeysiniz aq erkeklerin yüz karası orospu çocukları,1
italya hükümeti 18 yaşındaki gençlere 500 € kültür bonusu verir bu bonus sadece kitap almak müzeye tiyatroya ve sinemaya gitmek,0
anti komünist genco erkalı o sahneye çıkaran dalyarak kim,1
artık bol bol dizifilm izlemek geç saatlere kadar kitap okumak rahat rahat çıkıp gezmek yeni hobiler edinmek,0
evli adamları ayartip yuvaları bozan asifte ler biliyorsunuz artık büyük tazminatlar var,1
milletin çocuğu nasıl bu kadar uslu sessiz akıllı olabiliyor benimki tam bir fırlama eslemin peşinde koşmaktan bir,1
kültür sanat festivalinde müzik her yerde müzik sokakta müzik datçada,0
makyaj yapan kadın kendine güvensiz kadındır net,0
rabbim yollarda olanların evsizlerin fakir fukara’nın yardımcısı olsun,0
dünya çocuk hakları günü kutlu olsun,0
senin duruşuna tüküreyim cibiliyetsiz ne işe yararsın u,1
mavi gözlü hanıma çok üzülüyorum ya ne güzel kibar aklı başında bir kadınsın hele gözlerine hayran kaldım,0
bilgisayar başına geçip küfür ederek millete laf ediyorsunuz neymiş kpop dinleyerek ülkeyi geriletiyormuşuz sözde ula,0
survivor 2018 şampiyonu kim olur,0
ya biz oy tarihini yanliş mi biliyoruz acaba yoksa bu billboard şu hindileri süründürem diye dalgami geciyo bizimle ,1
kliplerin mega amatör olduğu güzide müzik sektörümüze güneş gibi doğmuşsunuz sıkılmıyorum en azından seyrederken httpstcocidtsjyxo0,0
yemekteyiz ahahahaa ağaç veriyorum dedi aslında al sana bu kazığı bir yerine sok demek istedi,1
konsomatris sibel yine satgısızca tabak getirmiş kastı yapanlar biraz seçici olun be haysiyet şeref,1
sen herkesi kör âlemi sersem mi sanırsın,0
cerrahpaşaduruşu bilimin sanatın tıbbın insanlığın varlığın durduğu yerdir,0
0islam siyasi meseleleri insanın sorumluluğuna bırakmıştır mevcut koşullarda yapılabilecek en iyi işlerden birisi adalet,0
engelli sürücüye ayrılan alana park eden sürücünün arabasının üstünü kullanarak başarılı bir sanat eserine imza atmışlar,0
çocuklarinizi dinleyin ve koruyun,0
en azından övünecek bişeyimiz var sizin neyiniz var dümbük sen tinerini koklamaya devam et buralar seni aşar,1
yalaka birisi tarafından boynuna takıldı trabzonspor atkısıkupamızı ver diyemeyen  ama yalaka i,1
tepeden tırnağa mutluyum ben la  la  la,0
ana sütüyle adam olamadıysan  inek sütüyle ancak öküz olursun,1
bi tane aklı başında adam yok nerde dalyarak var onlar mesaj atıyo,1
ağlayan kim lan gebeş,1
zencinin malafat at siki sanki mk,1
istifa etmeyen kahpe çocuğudur yine başakşehir maçı sonu istifası bekliyoruz,1
benden hoşlanan erkekler feminist olduğum için çiçek çikolatayı sevmeyeceğimi düşünerek sürekli kitap hediye ediyor,0
okumadığı halde her ders masasının üzerinde en az iki okuma kitabı bulundurarak ben çok kitap okuyorum imajı vermeye çalışan çocuk,0
geceye bir şarkı tuttumgökyüzüne fısıldadımbir rüzgar eserse duyulur diye,0
hiçbir sanatçı resim yapmak veya yazmak ya da sahneye çıkmak veya şarkı söylemek için izin almayı beklemez yaparlar ve olur,0
allahım çok mutluyum bütün tek yaptığım şey uyumaktı,0
cerrahpaşaduruşu bize atamızdan fatihten hocalarımızdan emanettir bu emanete sahip çıkacağız,0
iremm çok tatlısın yaa yicemm,0
ulan herkes konussun ama sen sus şikeci ibne,1
rezil kepaze mukusumsu varlık,1
yav sus tırrek,1
ne şovmen bir ibne bu ya,1
cocukla iki kere konuştun diye kendini bi bok sanan kücük kız cok lanet birisin,1
birinin kıçı değer biri ağzına alır o gusül geçersiz ayy cenabet bunnar,1
yeni playlist yapcam şarkı önerin zevkli arkadaşlarım,0
tellerimle snapte nasıl mutluyum anlatamam,0
hayatının neredeyse hiçbir bölümünde memleketine gitmeyip memleketinden vekil aday adayı olup düğün taziye muhtarlık köy,0
en büyük ahlaksız sensin ahlaksız şerefiz isyanoğlu,1
senin oldugun yerde abaz olmaz mı,1
fıstıklı kekhindistan cevizi kiraz ve çikolata parçacıklarının muhteşem uyumu kirazlı pasta,0
ders çalışacağım artık görüşürüz allah a emanet öptüm hepinizi,0
kahve pazar sabahlarının aşifte konuğu cilvesi köpüğündezarafeti fincanındaalbenisi özünde saklıasaletiyse kendinden menkul,1
onbeş yıldır aynı bku zırvalıyorsunuz gerizeka sürüsü,1
sana ne adi şerefsiz yobaz,1
bir ihtimalken bile güzelsin ,0
azıcık bende mutlu olayım ya tamam bişey istemiyorum kötü şirret uyuz insanlar benden uzak dursa da yeter ama nerde,1
aboubakar bana portoda kötü davranıyolar kesinlikle dönmicem diyip portoya gittiğinde döndüğüm için çok mutluyum diyen dönek,0
ya bu dallama akrabanız olsaydı,1
bu şarkıyı dinlemelisiniz,0
beşiktaş ta 1 yıl daha kontratım var burada mutluyum ayrıca stadımızdaki atmosferi brezilya ve portekiz de g,0
biri şunların ağzına kürekle vursun yemekteyiz,0
elit insanlar genelde dalyarak olur çünkü,1
ver ver  hangi ülkelerde 350 general vardır  demokrasi ne demektir  bakış deyil gerçek ,0
mızıklanma soğuk diyeben çok mutluyum,0
farkındalık yaratıcam diye iyice orospu çocuğu oldunuz çıktınız,1
herkes bir saat önceden hadi hazırlanmaya başla sen diyor artık 5 dakikada dışarı çıkabildiğime alışamadılar makyaj yok makyaj,0
damlanin başarili güzel olmasi reyting getiriyor olmasi bi kiskanç kizlari bi de barzo fanlari rahatsiz ediyor,1
o kadar da orospu çocuğu değildir dediğim kim varsa o kadar da orospu çocuğu çıktı,1
anormal andaval artışı gözlemlendi,1
maicon ile pepe yi kıyaslayan galatasaray taraftarları vardı  beyin error veriyor heralde şuan onlarda ajdjasdhasjdsakdfl be,0
körmüsün pislik kolundan nasıl tutmus ama galatasaray olunca görmezsiniz adiler,1
dunyanin en vasifsiz adami taytli selim yine agziyla sicmisgereksiz ibne,1
kartal avcısı fernando galatasaray,0
kanatsız oyun oynamaya çalışıyor yok böyle kafa anası kahpe ya,1
danla biliç size de itici gelmiyor mu,1
allahim islama ve müslümanlara yardim et,0
dünyaçocukhaklarıgünü kutlu olsun,0
yine minik bişeyden aşırı mutluyum,0
şişko yanaklarımi nasıl yok edebilirim,0
adeta hayatı seven bir şerefiz gibi yarın icin ocağa pırasa koydumsimdi de dün yaptığım bal kabağı ile kahvemi alıp dizimi açtım,0
huzur inceden yağan yağmurun sesidir ahmak islatan cinsinden,0
istediğimiz şeyler net duruşumuz net biz cerrahpaşadan vazgeçmeyiz cerrahpaşaduruşu,0
pislik bunlar ya kendi kafalarına göre karar veriyorlar,1
dorik iyonik korint bu kadar 6 yaşında çocuğa anlatsan ayırır bunları birbirinden ne üzerine tartışıyosunuz bu kadar,0
ayla nın kocası gönderdi tam bi gavat,1
bunların allahı varmı orospu savurduklrı kahpe godoş anasının amını sikerim kahpe döllüler,1
sosyal medya ile insanların iletişimi değil ben burada olmaktan çok sıkılıyorum söylemi bağırması arttı yoksa,0
söylenilen sözler kalıyor şu kahpe dünyada herşeyden önemlisi de kimse bunun farkında değil,0
her bahiste götünü ortaya koymaya alışık biri anası hiç bu ibne oğlum diyor mu acaba ,1
boşnaklar balkan kökenli tüm müslüman ve türkler gibi dünyanın en temiz kalpli insanlarıdır,0
biri çıkıp bana kitap okusa dinlerken uyuyakalsam ya süper olurdu şuan tek ihtiyacım bu,0
islâmın temel prensibi önce insan olmaktır,0
fırıldak gibi dönen karaktersiz insancıklar,1
hareketlere bak ya salak çocuk yiycem artik seni,0
neredeyse akşam trafiği başlayacak ama istanbulda sabah trafiği yeni bitiyor,0
 18 çocuğun tecavüze uğramasına göz yumacaksın ve alacağın ceza bir günlük maaş kesimi,0
haziranda düğün var ona gidicekmişiz birlikte gebzeye de bebe sevmeye gidicez yani arkadaşımla da tanışıcaz,0
tu bana nazar değmesin,0
bunlar düşünce filan da değil bunlar atmık bunlara saygı duyulmaz bunları sikip dışlayacaksın detroitli gibi çom,1
ulan dümbük potada olmadıgını bildiginin farkındayım ama olmadıgı potada bile laf atıcak kadar kud,1
avmlerde sevgili tişörtü giyip andaval gibi gezmeye utanmıyor musunuz ya,1
oynatmaya az kaldı doktorum nerde,0
ben sinirli değilim çevremdekiler beyinsiz,1
neyse konuşup ikna etti,0
allah hikmetiyle bir kapıyı kapatırsa rahmetiyle diğerini açar ya rabbi bu mübarek cuma günü hürmetine bizlere hayırlı kıl,0
esad ajani bu isidli pislik,1
sen gerçek bir karaktersizcibiliyetsiz şerefsizşuursuz ve gerizeka domuzun  tekisin,1
sinyal yaktigin an yol hakki senin olamaz embesil kardesim,1
bu korkaklığın göstergesi olurdu rezil kepaze olurdunuz amk,1
olmuyor olmuyor olmuyor ahaha ucube,1
bize karşı savunma oynayıp 1 puan aldığı için sevinen başakşehir gs ye 5 atıp şov yapıyor  siz neyin kafasını yaş,1
emeğinize yüreğinize sağlık halkarenası sözde değil özde atatürk çüyüm diyen herkesin izlemesi gereken bir program,0
yobaz,1
sapık dinbazlar,1
esselamun aleyküm cümleden hayırlı huzurlu bereketli sabahlar hayırlı cumalar cumaniz mübarek dualariniz kabul olsun i,0
20 kasım dünya çocuk hakları günü kutlu olsun,0
süper bir gece hiç bitmesin,0
tüm islam aleminin cumasını kutlamak için neden bana mesaj atıyorsun şeker  kardeşim ,0
çocuk gülüşün dünden bir yara aşk bize sıla,0
günaydın muhteşem taraftarı,0
hödük bu ya valla hödük,1
bu çocuk hallerine de aşığım gerçekten bir çocukken takındığın olgun tavırlarına da,0
sizin müzik listesini kim hazırlıyor yahu nefis seçimler,0
en güzel sabahlar sabah namazı ile başlar  hayırlı sabahlar allah devletimizi milletimizi reisimizi korusun inşallah,0
siz devam edin bu beyinsiz hocayla daha cok 5 yersiniz,1
yok ki söz biteli çok oldu hak ettikleri ne kadar arsız yüzsüz yalancı ve pişkin oldukları ama surat,1
herkese günaydın senin allah belanı versin yelloz kevaşe,1
bahar sen geri zekalı mısın kızım ezel sana uçan balon almış sende artistlik yapacağım diye onları bırakıyorsun,1
nobel edebiyat ödülü bu sene verilmeyecek,0
serefiz dokunma çocuklarımıza,1
gamsız veled bir baltaya sap olamadı,1
ayy  sıkıldım oglum kızım okuldan gelince yaparım  tamam yap burda niye söylüyorsun sarı pişmiş çok bilmiş hemşeri,0
vefat eden babasının yıllar sonra fotoğrafını gören adam,0
bi bitmedi bu dallama,1
manga yalvarırım ben ölene kadar şarkı çıkartın,0
senin de bayramın kutlu olsun fırlama,1
liboş aman ha çıldırmayasın bak ağlamayın sonra,1
ayışığında salıncağa bin ve salla kendini olabildiğince yükseklere,0
çok doğru bir açıklama kardeşim tebrikler,0
bu gerizeka bir bok bilmiyor takım taraftarın gazına oynuyor acilen kovun yoksa herşey için geç olabilir,1
aşağılık pislik,1
rakı candır spordur huzur dur sağlıktır içmesini bilene ben bugünde rakımla beraberim mutluyum,0
bir insana duâ et demek sana güveniyorum demenin en güvenilir şeklidir ve en hayırlı kapılar duâyla açılır,0
neyse amk banane bunu da mi dert edineyim,1
hergün makyaj yapıp 1 gün yapmayınca hasta gibi ortada dolaşmak yerine arada bir yapıp makyajın güzelleştirme etkisi,0
genşler bırakın da birazcık yorgunluktan öleyim ben siz de yatın zıbarın anca gebeş gebeş oturun,1
taş kağıt makasa forma kaybeden maldır amk hayvan gibi çocuksun döv al,1
bilmesek he dicez butün domates ceviz atmış evlat olsa sevilmez bu lensli iticii,0
youtube yorumlarına bir bakıyım dedim heryer yeni armyle dolu army büyüyor mutluyum bu kadar ilerl,0
sen misin lan ibne,1
herkes ayrı telden çalıyor biri ben konuşamıyorum diyorbiri konuşmaktan asla vazgeçmiyorbiri biraz ciddiyet diyor,0
başarılar dilerim abicim allah sizinle olsun,0
şuan konuşan pezevenk atatürk ün nefret edilecek neyi var söyliceksin bekliyorum vizyonsuz pezevenk,1
09052018,0
insanlar kavgadan bıktı usandı,0
lan dingil senden mi öğrenecek millet kime oy vereceğini angut sen beğenmiyorsan vermezsin,1
süpersin uğur amca sen hiç susma,0
sofi tukkerin her sarkisi cok basarili,0
ilaydayı da kursa sürükledim mutluyum,0
tokatlaya tokatlaya sikerim göt deliğini sürtük,1
ben kış mış değilim olm manyak mısınız nesiniz la havle ya normal insanım kışta değilim yazda değilim,1
gediz deltası kuş cennetine otoban yol köprü projesi yapılmaz,0
önemli bir site kaynak araştırmalar var tebrikler,0
kevaşe gönlün gavat dolu ama yine de sen bilirsin,1
islamda kadın burka giyer yüzünü de kapatı,0
nasıl mutluyum nasıl mutluyum anlatamam,0
yavşak herif varya hepiniz aynısınız sözünü yaşatma çabanız gerçekten göz yaşartıcı dalga geçmiyorum ciddi anlamda,1
kes sesini bücür,1
bak allasen hitlere benzemeye çalışmış pust,1
gebeş işte boş atıyo tinerci gebeş,1
bu soytarı ne dediğinin farkında değil herhalde yada sahte kabadayılık yapıyor çakal,1
danla biliç çok zayıfmış gibi o elbiseyi gitymen,0
hayırlı mutlu huzurlu akşamlar değerli arkadaşım sevgiler selamlar,0
iyy yamuk suratlı aşifte,1
ozelden konuşsak şerefsiz  namussuz ahlaksız dümbük,1
turabi survivor boyunca bütün kufredenlerin cezasını aldı çünkü survivor boyunca çok küfür oldu ama kimse oyun cezası almad,0
sabah makyaj yaptığımı unutarak öğlen aynaya baktığımda şaşıran biri olarak unutkanlık seviyemi zorluyorum bugün,0
makyaj diyen bir andaval çıkacaktır şimdi,1
ezik bir sürtük gibi karşıma geçip oynama mağduru,1
anılcığım her zaman mı tespit gibi tespit yapar insansüpersin,0
eski sevgilime 2 yıla yakın orospu olcaksın diyordum haklı çıkmışım insanlardaki ışığı görüyorum amk,1
sizin dedeniz belibende onu diyorum orospu çocuğu,1
başarılı kadınların 10 ortak özelliği,0
yaptığım yanlışları yaptığınız yanlışlara sayarsınız kahpe düzenin orospu evlatları,1
çok güzelsin bebiş,0
ne çok angut var,1
cibiliyetsiz haysiyetsiz bunlar kanka,1
survivor 2018in ilk tanıtımında en çok etkilendiğiniz yarışmacı hangis,0
bu fotorafi daha kac kisinin sayfasinda gorecegiz yalanci orosbu cocugu ollsun,1
her başarılı kadının arkasında kendisi vardır,0
kuzenimin boyu geçen hafta benden kısaydı şimdi beni nasıl geçmiş cüce kalıyorum yanında,0
sakın görünüşe aldanma,0
dinazor zirzop pezvenkler,1
yağmurda iyi mesken belledi aq aynı takımdayız diye daha az sövüyorum ama hala andaval,1
öğretmenler müjde bekliyor artık müjde gelsin okullarda ders anlatmak istiyoruz,0
gerizeka kreşi bu galiba yazik sana simdi bunu attın diye başın göge erdi demi senin anan bacın var,1
şşt kız kevaşe yeter özendiğin bi kendini bul artık,1
artık sabahları kalkıp ders çalışmak yerine okula gitmek istiyorum,0
türkiye mi kaldı ki embesil adamın emrinde yaşayan köle ruhlu aptal sürüsüne çevirdiniz ülkeyi,1
ders çalışırken duvarların rengi bile hoş geliyo oturup izliyorum,0
angut oldugunu anlamiş seni engellemiş lale,1
kepekli grissiniye çikolata sosu sıkıp yediğim doğrudur,0
çikolata istiyorum bir sürü çikolata,0
müslüman film dili geliştirmeli beyazperde konya’da,0
çok güzelsin be karadeniz,0
amuda kalkip fi muzigi dinliorum artik berdus life smk’yim,0
milliyet gazetesini 40 senedir tanırım ama böyle çirkef hiç olmamıştı,1
vücudunuz bütün gün televizyon veya bilgisayar başında oturmak için dizayn edilmedi kalkın hareket edin,0
kıskanan erkek çok güzelsin yaa,0
yağız ve hazan,0
haadi bi siktir,1
gerizeka hıncal uluç ve top erman toroğlu nerde ,1
çaresizlik bizler için hastamız adına yapacak hiçbir şeyimiz kalmadığında hissedilen bir duygu olmalıdır okulumuz elimizde,0
ciddili bir soru soruyorum elif sen kimsin  survivor,0
hakkımızda hayırlısı olsun,0
beyinsiz orospu evladi kismi icin favladim yanlis anlasilmasin,1
düşüncelerle baş etmenin yolunu kitap sayfalarına kaçmakla buluyorum,0
çok şükür bugün de exolim,0
böyle bir adam lazım,0
hiçbir makyaj kapatamaz yüzündeki orospu,1
aha buda army yüz karası embesil,1
lan dombili baykuş hasana guven olurmu suya goturur ibne susuz getirir,1
şişko yanaklarınız kimin umrunda,1
sizce bu gavat köpek neyin ardına saklanıyo ayet siz onların namaz kıldıklarına bakmayın kafir faizci zinacı,1
orosbunun yüzüne tükür yarabbi şükür der,1
dünyanın en güzel gözleri eşşeklerdedir diye şarkı yaparsan yurdum abaza da eşşeğin götüne yazılır tabi,1
amatör şarkı söyleyen insan kadar itici birşey yok ya,0
şarlatanşerefsiz yalancı pezevenk bunağın peşinden giden ahmak sürüsü sıfatınıza tüküreyim,1
çok özel bir hediyelik kişiye özel kutu ister çikolata için ister takı için kullan ister annene ister eşine hediye et,0
istanbul’a şiir şarkı yazanlar nasıl yazdınız zengin misiniz bi geldim öküz gibi pahalı  çok kalabalık ve korkunç,0
zula nasılda unuttum seni ama orospu çocugu,1
kankam hocadan daha iyi ders anlatıyor amık,1
yemek yedim ve çok mutluyum hiç bişey bu kadar mutlu edemezdi,0
bir erkegin kızlara karşı yalaka olacak her sözüne sensin diyecek ara sıra güzel olduğunu söyleyecek yoksa bir işe yaramazsın,1
arka sokaklar ın  mesut komiser i şevket çoruh özge turna ya evlenme teklifi etti,0
formasına atatürk’ü koyan aydın 1 amatör küme takımlarından arslanlı gençlikspor’u ziyaret ettik,0
bu hafta yine hiçbiri kazansın istemiyorum hepsi leş dün ozan amcayi takdir etmistim ama o da ukala çıktı,0
dinidar imansız suslumanlarin çaresiz vicdanlarıher  bok oldukta  sadece  insan olamad,0
sevmiyorum aşağılık herifin teki oyuncusuna yatarak vakit gecirten hoca iyi olamaz fırat bey,1
maç sonucu  fenerbahçe 41 demir grup sivasspor tebrikler fenerbahçe,0
ozan bey merhaba,0
virman zırtapoz sökük dikkafalı,1
ceg şirret biri şiddet dolu çirkin çirkef biri,1
şunan evde yaptığım birçok şeyin hiçbir amacı yook diye bağrınarak şarkı söylüyorum resmen o moddayım,0
yabancı bir şarkı gibiyimdinleyenim cok anlayanım az,0
lan puşt  hiç suç işlemeyenler enayi mi  shshd kesin kazanacağız kesin,1
siyah camfilmlerin arkasında fuhuş sekteröne açtınız teşekkürler uberci diye piyasada gez,0
doğum günün kutlu olsun björk bebeğim,0
artık paramız kadar mı paramız kadar mı kanuşmalıyız anne,0
neymiş derste konuyu biz anlatacakmışız ulan dersi ben anlatacaksam okulda ne işim var gider öğretmen olurum amk kskskdkd,1
ademi koyduğum yere bak sanirsin barzo hanzo,1
düğün var dediler geldik,0
fenerbahçemin gerizeka futbolcuları yarında kaybedin orayı yakalım,1
şuraya bir de parası için erkeklerin peşinde koşan kızları eleştirdikten sonra snape bile karı kız düşürmek için pa,1
talisca benficalı olmaktan mutluyum,0
sizini gibi münafık şerefiz bir grup görmedim yani akp lgbt açılımı yapsa hepiniz bizlerde gayız diyip,1
senin en kurnaz halin benim yanımda andaval,1
takipten çıkarınca hayatından çıkaramıyorsun şırfıntı aklında bulunsun,1
bang yongguk mükemmel bir sanat eseri,0
sıktır git koyduğum,1
koduğumun hakemi şuna gol vermiş ya pezevenk hakemin sana işaret vermemiş sen o k,1
